Time,Force,EMG,
59.358,3.261779,0.04174422,
59.359,3.261779,0.04167137,
59.36,3.261779,0.04159489,
59.361,3.261779,0.04152033,
59.362,3.231254,0.04144547,
59.363,3.231254,0.04137033,
59.364,3.231254,0.04129472,
59.365,3.231254,0.04121862,
59.366,3.231254,0.04114205,
59.367,3.231254,0.04106481,
59.368,3.231254,0.0409868,
59.369,3.200729,0.04090536,
59.37,3.170204,0.0408265,
59.371,3.139679,0.04074764,
59.372,3.109154,0.04066858,
59.373,3.048104,0.04058943,
59.374,3.048104,0.04050999,
59.375,3.078629,0.04043027,
59.376,3.139679,0.04035007,
59.377,3.170204,0.04026939,
59.378,3.109154,0.04018557,
59.379,3.017579,0.0401047,
59.38,2.956529,0.04002412,
59.381,2.926004,0.03994382,
59.382,2.926004,0.03986372,
59.383,2.926004,0.03978371,
59.384,2.895479,0.03970379,
59.385,2.895479,0.03962407,
59.386,2.926004,0.03954435,
59.387,2.926004,0.03946233,
59.388,2.956529,0.03938376,
59.389,2.987054,0.03930613,
59.39,2.987054,0.03922937,
59.391,2.987054,0.03915337,
59.392,2.987054,0.03907794,
59.393,3.017579,0.03900328,
59.394,3.017579,0.03892919,
59.395,3.048104,0.03885567,
59.396,3.048104,0.03878054,
59.397,3.048104,0.03870912,
59.398,3.078629,0.03863904,
59.399,3.078629,0.03857001,
59.4,3.078629,0.03850203,
59.401,3.078629,0.03843481,
59.402,3.078629,0.03836846,
59.403,3.078629,0.03830296,
59.404,3.078629,0.03823832,
59.405,2.956529,0.03817273,
59.406,2.742854,0.03811077,
59.407,2.590229,0.03805043,
59.408,2.529179,0.03799152,
59.409,2.468129,0.03793385,
59.41,2.468129,0.03787733,
59.411,2.468129,0.03782195,
59.412,2.468129,0.03776791,
59.413,2.437604,0.03771521,
59.414,2.437604,0.03766241,
59.415,2.437604,0.03761324,
59.416,2.437604,0.03756607,
59.417,2.437604,0.03752063,
59.418,2.437604,0.03747671,
59.419,2.407079,0.03743432,
59.42,2.376554,0.03739326,
59.421,2.346029,0.03735374,
59.422,2.315504,0.03731564,
59.423,2.346029,0.03727793,
59.424,2.376554,0.03724365,
59.425,2.407079,0.03721109,
59.426,2.498654,0.03718016,
59.427,2.559704,0.03715066,
59.428,2.651279,0.03712249,
59.429,2.742854,0.03709557,
59.43,2.834429,0.03706988,
59.431,2.926004,0.03704573,
59.432,3.017579,0.03702224,
59.433,3.109154,0.03700143,
59.434,3.200729,0.03698243,
59.435,3.292304,0.03696486,
59.436,3.383879,0.03694863,
59.437,3.475454,0.03693373,
59.438,3.567029,0.03692008,
59.439,3.658604,0.03690776,
59.44,3.750178,0.03689698,
59.441,3.841753,0.03688733,
59.442,3.963853,0.03687998,
59.443,4.055428,0.03687416,
59.444,4.116478,0.03686986,
59.445,4.208053,0.03686671,
59.446,4.238578,0.0368648,
59.447,4.299628,0.03686404,
59.448,4.299628,0.03686442,
59.449,4.269103,0.03686614,
59.45,4.269103,0.03686891,
59.451,4.269103,0.0368733,
59.452,4.238578,0.03687874,
59.453,4.208053,0.03688523,
59.454,4.177528,0.03689258,
59.455,4.177528,0.0369007,
59.456,4.177528,0.03690948,
59.457,4.147003,0.03691913,
59.458,4.147003,0.03692963,
59.459,4.147003,0.03694118,
59.46,4.147003,0.0369535,
59.461,4.177528,0.03696658,
59.462,4.177528,0.03698042,
59.463,4.177528,0.03699474,
59.464,4.177528,0.03700964,
59.465,4.147003,0.0370252,
59.466,4.116478,0.03704134,
59.467,4.055428,0.03705814,
59.468,4.024903,0.03707609,
59.469,4.024903,0.03709433,
59.47,3.994378,0.03711304,
59.471,3.994378,0.03713223,
59.472,3.963853,0.0371519,
59.473,3.963853,0.03717185,
59.474,3.963853,0.03719219,
59.475,3.933328,0.037213,
59.476,3.902803,0.0372341,
59.477,3.872278,0.03725616,
59.478,3.872278,0.03727793,
59.479,3.841753,0.03729979,
59.48,3.780703,0.03732175,
59.481,3.780703,0.03734381,
59.482,3.750178,0.03736586,
59.483,3.719653,0.03738801,
59.484,3.689128,0.03741016,
59.485,3.689128,0.03743241,
59.486,3.689128,0.03745523,
59.487,3.658604,0.03747738,
59.488,3.658604,0.03749934,
59.489,3.628079,0.0375212,
59.49,3.597554,0.03754287,
59.491,3.597554,0.03756455,
59.492,3.597554,0.03758603,
59.493,3.597554,0.03760742,
59.494,3.597554,0.03762871,
59.495,3.597554,0.03765057,
59.496,3.567029,0.03767158,
59.497,3.567029,0.03769229,
59.498,3.536504,0.03771282,
59.499,3.536504,0.03773306,
59.5,3.536504,0.03775311,
59.501,3.536504,0.03777307,
59.502,3.567029,0.03779274,
59.503,3.536504,0.03781231,
59.504,3.536504,0.03783207,
59.505,3.536504,0.03785098,
59.506,3.536504,0.0378694,
59.507,3.536504,0.03788745,
59.508,3.536504,0.03790521,
